idema	name	province	latitude	longitude	altitude
B656A	Santa María Del Camí	Illes Balears	39.652499999999996	2.8002777777777776	121
B662X	Binissalem	Illes Balears	39.67805555555555	2.8738888888888887	105
B684A	Escorca, Son Torrella	Illes Balears	39.79277777777778	2.7877777777777775	842
B691	La Puebla (Sa Canova)	Baleares	39.748333333333335	3.015277777777778	40
B691Y	Sa Pobla	Illes Balears	39.74916666666667	3.0166666666666666	40
B760X	Pollença	Illes Balears	39.87694444444445	3.0241666666666664	45
B780X	Port De Pollença	Illes Balears	39.909444444444446	3.100277777777778	2
B800X	La Mola, Maó	Illes Balears	39.876111111111115	4.323888888888889	78
B825B	Es Mercadal	Illes Balears	39.99055555555556	4.086388888888888	80
B860X	Ciutadella	Illes Balears	39.99277777777778	3.853888888888889	20
B870C	Ciutadella, Cala Galdana	Illes Balears	39.94472222222222	3.956666666666667	43
B893	Menorca, Aeropuerto	Baleares	39.85472222222222	4.2155555555555555	91
B908X	Sant Joan De Labritja	Illes Balears	39.05611111111111	1.4925000000000002	110
B925	Sant Antoni De Portmany	Illes Balears	38.963055555555556	1.321388888888889	32
B954	Ibiza, Aeropuerto	Illes Balears	38.87638888888889	1.3844444444444444	6
B957	Eivissa	Illes Balears	38.922777777777775	1.4413888888888888	3
B986	Formentera	Illes Balears	38.69361111111111	1.463611111111111	24
C018J	Tías	Las Palmas	28.96972222222222	-13.690277777777778	376
C019V	Yaiza Playa Blanca	Las Palmas	28.85888888888889	-13.835	6
C029O	Lanzarote Aeropuerto	Las Palmas	28.951944444444443	-13.600277777777777	14
C038N	Haría	Las Palmas	29.14361111111111	-13.489166666666666	277
C048W	Tinajo	Las Palmas	29.0425	-13.680833333333332	275
C101A	Roque De Los Muchachos	Sta. Cruz De Tenerife	28.75583333333333	-17.89527777777778	2223
C117A	Puntagorda	Sta. Cruz De Tenerife	28.760555555555555	-17.985555555555557	684
C117Z	Tijarafe	Sta. Cruz De Tenerife	28.674722222222222	-17.936666666666667	733
C126A	El Paso	Sta. Cruz De Tenerife	28.653888888888886	-17.853055555555557	844
C129V	Fuencaliente	Sta. Cruz De Tenerife	28.455	-17.84111111111111	19
C129Z	Tazacorte	Sta. Cruz De Tenerife	28.59583333333333	-17.915277777777778	62
C139E	La Palma Aeropuerto	Santa Cruz De Tenerife	28.633055555555558	-17.755	33
C148F	San Andrés Y Sauces	Sta. Cruz De Tenerife	28.804722222222225	-17.78222222222222	362
C229J	Pájara	Las Palmas	28.049166666666668	-14.358055555555556	15
C239N	Tuineje,Puerto Gran Tarajal	Las Palmas	28.20861111111111	-14.023055555555556	1
C248E	Antigua	Las Palmas	28.416944444444447	-14.019166666666667	252
C249I	Fuerteventura Aeropuerto	Las Palmas	28.44472222222222	-13.863055555555555	25
C258K	La Oliva	Las Palmas	28.6125	-13.931666666666667	217
C314Z	Vallehermoso, Alto Igualero  	Sta. Cruz De Tenerife	28.106944444444444	-17.249166666666667	1474
C316I	Arure	Sta. Cruz De Tenerife	28.128333333333334	-17.315	916
C317B	Agulo	Sta. Cruz De Tenerife	28.17888888888889	-17.213055555555556	765
C319W	Vallehermoso, Dama	Sta. Cruz De Tenerife	28.054166666666667	-17.30638888888889	190
C328W	Hermigua	Sta. Cruz De Tenerife	28.16361111111111	-17.194166666666668	252
C329B	La Gomera, Aeropuerto	Sta. Cruz De Tenerife	28.031666666666666	-17.210833333333333	219
C329Z	San Sebastián De La Gomera	Sta. Cruz De Tenerife	28.08972222222222	-17.11138888888889	15
C406G	La Orotava, Cañadas Teide	Sta. Cruz De Tenerife	28.224166666666665	-16.62611111111111	2150
C412N	Citfagro_89_Chavao	Sta. Cruz De Tenerife	28.21972222222222	-16.705277777777777	2071
C415A	Citfagro_64_Hoyos	Sta. Cruz De Tenerife	28.30527777777778	-16.805555555555557	990
C417J	Citfagro_74_Chio	Sta. Cruz De Tenerife	28.233333333333334	-16.789166666666667	735
C418I	Citfagro_05_Guiaiso1	Sta. Cruz De Tenerife	28.214444444444442	-16.789722222222224	476
C418L	Citfagro_76_Pozo	Sta. Cruz De Tenerife	28.200277777777778	-16.763055555555557	700
C419L	Lomo Del Balo	Sta. Cruz De Tenerife	28.206944444444442	-16.791944444444447	403
